# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
3.889000e-02 8.686079 8.686083 0.000 1.000000 0.364918 0.996306 0.994468 26.478778 74.081272 73.937501 0.000000e+00
3.719000e-02 8.686079 8.686084 0.000 1.000000 0.364892 0.995871 0.994468 26.476897 74.047282 73.937501 0.000000e+00
3.556000e-02 8.686080 8.686084 0.000 1.000000 0.364866 0.996306 0.994783 26.475023 74.081281 73.962138 0.000000e+00
3.400000e-02 8.686080 8.686084 0.000 1.000000 0.364840 0.996306 0.994783 26.473156 74.081281 73.962138 0.000000e+00
3.252000e-02 8.686080 8.686085 0.000 1.000000 0.364814 0.995871 0.994783 26.471312 74.047291 73.962138 0.000000e+00
3.109000e-02 8.686081 8.686085 0.000 1.000000 0.364788 0.996306 0.995118 26.469463 74.081290 73.988386 0.000000e+00
2.973000e-02 8.686081 8.686085 0.000 1.000000 0.364762 0.996306 0.995118 26.467630 74.081290 73.988386 0.000000e+00
2.843000e-02 8.686081 8.686085 0.000 1.000000 0.364737 0.996306 0.995118 26.465808 74.081290 73.988386 0.000000e+00
2.719000e-02 8.686082 8.686085 0.000 1.000000 0.364711 0.996799 0.995118 26.464004 74.119916 73.988395 0.000000e+00
2.600000e-02 8.686082 8.686085 0.000 1.000000 0.364686 0.996799 0.995118 26.462199 74.119916 73.988395 0.000000e+00
2.486000e-02 8.686082 8.686085 0.000 1.000000 0.364661 0.996799 0.995118 26.460401 74.119916 73.988395 0.000000e+00
2.377000e-02 8.686082 8.686086 0.000 1.000000 0.364636 0.996306 0.995118 26.458613 74.081299 73.988395 0.000000e+00
2.273000e-02 8.686083 8.686086 0.000 1.000000 0.364611 0.996799 0.995479 26.456841 74.119925 74.016616 0.000000e+00
2.173000e-02 8.686083 8.686086 0.000 1.000000 0.364586 0.996799 0.995479 26.455066 74.119925 74.016616 0.000000e+00
2.078000e-02 8.686083 8.686086 0.000 1.000000 0.364562 0.996799 0.995479 26.453312 74.119925 74.016616 0.000000e+00
1.987000e-02 8.686083 8.686086 0.000 1.000000 0.364537 0.996799 0.995479 26.451564 74.119925 74.016616 0.000000e+00
1.900000e-02 8.686084 8.686086 0.000 1.000000 0.364513 0.997385 0.995871 26.449828 74.165793 74.047327 0.000000e+00
1.817000e-02 8.686084 8.686086 0.000 1.000000 0.364489 0.997385 0.995871 26.448104 74.165793 74.047327 0.000000e+00
1.738000e-02 8.686084 8.686087 0.000 1.000000 0.364465 0.996799 0.995479 26.446396 74.119934 74.016625 0.000000e+00
1.662000e-02 8.686084 8.686087 0.000 1.000000 0.364441 0.996799 0.995479 26.444688 74.119934 74.016625 0.000000e+00
1.589000e-02 8.686084 8.686087 0.000 1.000000 0.364417 0.996799 0.995871 26.442981 74.119934 74.047327 0.000000e+00
1.519000e-02 8.686085 8.686087 0.000 1.000000 0.364394 0.997385 0.996306 26.441281 74.165802 74.081325 0.000000e+00
1.453000e-02 8.686085 8.686087 0.000 1.000000 0.364370 0.997385 0.996306 26.439611 74.165802 74.081325 0.000000e+00
1.389000e-02 8.686085 8.686087 0.000 1.000000 0.364347 0.997385 0.996306 26.437927 74.165802 74.081325 0.000000e+00
1.328000e-02 8.686085 8.686088 0.000 1.000000 0.364323 0.996799 0.995871 26.436256 74.119943 74.047336 0.000000e+00
1.270000e-02 8.686086 8.686088 0.000 1.000000 0.364300 0.997385 0.996306 26.434607 74.165811 74.081334 0.000000e+00
1.215000e-02 8.686086 8.686088 0.000 1.000000 0.364277 0.997385 0.996799 26.432978 74.165811 74.119952 0.000000e+00
1.162000e-02 8.686086 8.686088 0.000 1.000000 0.364255 0.997385 0.996799 26.431346 74.165811 74.119952 0.000000e+00
1.111000e-02 8.686086 8.686088 0.000 1.000000 0.364232 0.997385 0.996306 26.429712 74.165811 74.081334 0.000000e+00
1.062000e-02 8.686086 8.686088 0.000 1.000000 0.364209 0.997385 0.996799 26.428079 74.165811 74.119952 0.000000e+00
1.016000e-02 8.686086 8.686088 0.000 1.000000 0.364187 0.997385 0.996306 26.426485 74.165811 74.081334 0.000000e+00
9.712000e-03 8.686086 8.686088 0.000 1.000000 0.364164 0.997385 0.996306 26.424869 74.165811 74.081334 0.000000e+00
9.287000e-03 8.686086 8.686088 0.000 1.000000 0.364142 0.997385 0.995871 26.423275 74.165811 74.047345 0.000000e+00
8.880000e-03 8.686087 8.686088 0.000 1.000000 0.364119 0.998149 0.996799 26.421690 74.225670 74.119961 0.000000e+00
8.491000e-03 8.686087 8.686088 0.000 1.000000 0.364097 0.998149 0.996799 26.420111 74.225670 74.119961 0.000000e+00
8.120000e-03 8.686087 8.686088 0.000 1.000000 0.364075 0.998149 0.996799 26.418545 74.225670 74.119961 0.000000e+00
7.764000e-03 8.686087 8.686088 0.000 1.000000 0.364054 0.998149 0.996799 26.416982 74.225670 74.119961 0.000000e+00
7.425000e-03 8.686087 8.686088 0.000 1.000000 0.364032 0.998149 0.996799 26.415433 74.225670 74.119961 0.000000e+00
7.100000e-03 8.686087 8.686089 0.000 1.000000 0.364010 0.997385 0.997385 26.413889 74.165820 74.165820 0.000000e+00
6.789000e-03 8.686088 8.686089 0.000 1.000000 0.363989 0.998149 0.997385 26.412356 74.225679 74.165829 0.000000e+00
6.492000e-03 8.686088 8.686089 0.000 1.000000 0.363967 0.998149 0.996799 26.410829 74.225679 74.119970 0.000000e+00
6.208000e-03 8.686088 8.686089 0.000 1.000000 0.363946 0.998149 0.996799 26.409311 74.225679 74.119970 0.000000e+00
5.936000e-03 8.686088 8.686090 0.000 1.000000 0.363925 0.997385 0.997385 26.407798 74.165829 74.165829 0.000000e+00
5.676000e-03 8.686088 8.686089 0.000 1.000000 0.363904 0.998149 0.996799 26.406294 74.225679 74.119970 0.000000e+00
5.428000e-03 8.686088 8.686089 0.000 1.000000 0.363883 0.998149 0.997385 26.404802 74.225679 74.165829 0.000000e+00
5.190000e-03 8.686088 8.686089 0.000 1.000000 0.363862 0.998149 0.997385 26.403312 74.225679 74.165829 0.000000e+00
4.963000e-03 8.686088 8.686089 0.000 1.000000 0.363842 0.998149 0.997385 26.401834 74.225679 74.165829 0.000000e+00
