# M[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
8.770000e+12 1.494794 1.681667 0.000 1.000000 0.629353 8.706703 10.104905 8.658439
8.768000e+12 1.494854 1.681730 0.000 1.000000 0.629346 8.706919 10.105211 8.658660
8.761000e+12 1.495062 1.681952 0.000 1.000000 0.629321 8.707666 10.106246 8.659420
8.714000e+12 1.496470 1.683445 0.000 1.000000 0.629156 8.712729 10.113317 8.664596
8.710000e+12 1.496590 1.683573 0.000 1.000000 0.629142 8.713160 10.113915 8.665036
8.670000e+12 1.497795 1.684852 0.000 1.000000 0.629000 8.717492 10.119958 8.669465
8.606000e+12 1.499736 1.686910 0.000 1.000000 0.628773 8.724469 10.129705 8.676594
8.606000e+12 1.499736 1.686910 0.000 1.000000 0.628773 8.724469 10.129705 8.676594
8.540000e+12 1.501754 1.689051 0.000 1.000000 0.628537 8.731722 10.139828 8.684006
8.455000e+12 1.504378 1.691834 0.000 1.000000 0.628231 8.741149 10.152994 8.693640
8.422000e+12 1.505404 1.692923 0.000 1.000000 0.628111 8.744834 10.158135 8.697403
8.414000e+12 1.505654 1.693187 0.000 1.000000 0.628082 8.745733 10.159397 8.698324
8.389000e+12 1.506435 1.694016 0.000 1.000000 0.627991 8.748538 10.163310 8.701189
8.348000e+12 1.507722 1.695381 0.000 1.000000 0.627841 8.753160 10.169765 8.705909
8.340000e+12 1.507974 1.695648 0.000 1.000000 0.627812 8.754065 10.171030 8.706835
8.317000e+12 1.508700 1.696418 0.000 1.000000 0.627728 8.756673 10.174671 8.709498
8.265000e+12 1.510348 1.698167 0.000 1.000000 0.627536 8.762589 10.182927 8.715541
8.230000e+12 1.511465 1.699350 0.000 1.000000 0.627407 8.766601 10.188539 8.719643
8.211000e+12 1.512073 1.699995 0.000 1.000000 0.627336 8.768783 10.191586 8.721871
8.205000e+12 1.512265 1.700199 0.000 1.000000 0.627314 8.769472 10.192546 8.722574
8.176000e+12 1.513197 1.701187 0.000 1.000000 0.627206 8.772818 10.197221 8.725991
8.172000e+12 1.513326 1.701324 0.000 1.000000 0.627191 8.773281 10.197867 8.726467
8.160000e+12 1.513713 1.701734 0.000 1.000000 0.627146 8.774670 10.199810 8.727886
8.092000e+12 1.515916 1.704071 0.000 1.000000 0.626891 8.782575 10.210847 8.735958
8.090000e+12 1.515982 1.704140 0.000 1.000000 0.626883 8.782813 10.211185 8.736204
8.032000e+12 1.517878 1.706151 0.000 1.000000 0.626664 8.789616 10.220685 8.743151
7.986000e+12 1.519393 1.707756 0.000 1.000000 0.626490 8.795052 10.228287 8.748704
7.928000e+12 1.521316 1.709795 0.000 1.000000 0.626268 8.801949 10.237923 8.755746
7.908000e+12 1.521983 1.710502 0.000 1.000000 0.626191 8.804341 10.241267 8.758189
7.881000e+12 1.522885 1.711460 0.000 1.000000 0.626087 8.807575 10.245775 8.761491
7.846000e+12 1.524061 1.712706 0.000 1.000000 0.625952 8.811792 10.251673 8.765799
7.841000e+12 1.524229 1.712884 0.000 1.000000 0.625933 8.812394 10.252515 8.766410
7.781000e+12 1.526259 1.715036 0.000 1.000000 0.625700 8.819672 10.262686 8.773843
7.775000e+12 1.526463 1.715253 0.000 1.000000 0.625676 8.820403 10.263703 8.774591
7.767000e+12 1.526736 1.715541 0.000 1.000000 0.625645 8.821383 10.265080 8.775590
7.767000e+12 1.526736 1.715541 0.000 1.000000 0.625645 8.821383 10.265080 8.775590
7.699000e+12 1.529062 1.718007 0.000 1.000000 0.625379 8.829720 10.276730 8.784104
7.699000e+12 1.529062 1.718007 0.000 1.000000 0.625379 8.829720 10.276730 8.784104
7.666000e+12 1.530198 1.719212 0.000 1.000000 0.625249 8.833790 10.282414 8.788257
7.664000e+12 1.530267 1.719285 0.000 1.000000 0.625241 8.834037 10.282761 8.788508
7.641000e+12 1.531063 1.720128 0.000 1.000000 0.625150 8.836890 10.286752 8.791421
7.641000e+12 1.531063 1.720128 0.000 1.000000 0.625150 8.836890 10.286752 8.791421
7.631000e+12 1.531410 1.720496 0.000 1.000000 0.625110 8.838134 10.288489 8.792692
7.620000e+12 1.531792 1.720901 0.000 1.000000 0.625067 8.839502 10.290402 8.794088
7.610000e+12 1.532140 1.721269 0.000 1.000000 0.625027 8.840750 10.292150 8.795363
7.558000e+12 1.533957 1.723195 0.000 1.000000 0.624819 8.847259 10.301248 8.802009
7.536000e+12 1.534729 1.724014 0.000 1.000000 0.624731 8.850024 10.305109 8.804830
7.490000e+12 1.536353 1.725734 0.000 1.000000 0.624546 8.855841 10.313248 8.810768
7.469000e+12 1.537098 1.726524 0.000 1.000000 0.624462 8.858509 10.316975 8.813493
7.465000e+12 1.537240 1.726674 0.000 1.000000 0.624445 8.859018 10.317690 8.814011
7.459000e+12 1.537453 1.726900 0.000 1.000000 0.624421 8.859780 10.318754 8.814788
7.438000e+12 1.538201 1.727693 0.000 1.000000 0.624336 8.862458 10.322497 8.817521
7.413000e+12 1.539095 1.728640 0.000 1.000000 0.624234 8.865660 10.326975 8.820792
7.403000e+12 1.539454 1.729020 0.000 1.000000 0.624194 8.866946 10.328776 8.822104
7.378000e+12 1.540352 1.729972 0.000 1.000000 0.624092 8.870161 10.333268 8.825387
7.343000e+12 1.541615 1.731310 0.000 1.000000 0.623948 8.874682 10.339593 8.829999
7.339000e+12 1.541760 1.731464 0.000 1.000000 0.623932 8.875201 10.340316 8.830529
7.335000e+12 1.541905 1.731617 0.000 1.000000 0.623916 8.875720 10.341047 8.831059
7.335000e+12 1.541905 1.731617 0.000 1.000000 0.623916 8.875720 10.341047 8.831059
7.292000e+12 1.543468 1.733274 0.000 1.000000 0.623738 8.881315 10.348864 8.836772
7.269000e+12 1.544308 1.734164 0.000 1.000000 0.623643 8.884321 10.353068 8.839838
7.263000e+12 1.544528 1.734397 0.000 1.000000 0.623618 8.885109 10.354170 8.840643
7.252000e+12 1.544931 1.734824 0.000 1.000000 0.623573 8.886551 10.356187 8.842113
